frequency_rank,characters,pinyin
1,的,de
2,了,le
3,一,yī
4,我,wǒ
5,是,shì
6,在,zài
7,不,bù
8,说,shuō
9,个,gè
10,他,tā
11,到,dào
12,着,zhe
13,有,yǒu
14,小,xiǎo
15,你,nǐ
16,上,shàng
17,这,zhè
17,这儿,zhè’er
18,就,jiù
19,看,kàn
20,里,lǐ
21,很,hěn
22,和,hé
23,来,lái
24,好,hǎo
25,地,de
26,大,dà
27,也,yě
28,把,bǎ
29,去,qù
30,都,dōu
31,我们,wǒmen
32,要,yào
33,天,tiān
34,妈妈,māma
35,它,tā
36,还,hái
37,想,xiǎng
38,只,zhī
39,吃,chī
40,又,yóu
41,什么,shénme
42,爸爸,bàba
43,那,nà
43,那儿,nà'er
44,人,rén
45,得,de
46,他们,tāmen
47,给,gěi
48,家,jiā
49,会,huì
50,她,tā
51,做,zuò
52,多,duō
53,喜欢,xǐhuan
54,走,zǒu
55,呢,ne
56,自己,zìjǐ
57,吗,ma
58,起来,qǐlái
59,从,cóng
60,真,zhēn
61,下,xià
62,没有,méiyǒu
63,出,chū
64,过,guò
65,对,duì
66,啊,a
67,叫,jiào
68,儿子,érzi
69,一起,yìqǐ
70,大头,dàtóu
71,用,yòng
72,跑,pǎo
73,吧,ba
74,飞,fēi
75,水,shuǐ
76,时候,shíhou
77,中,zhōng
78,最,zuì
79,头,tóu
80,大家,dàjiā
81,能,néng
82,找,zhǎo
83,树,shù
84,朋友,péngyou
85,拉,lā
86,回,huí
87,长,cháng
88,两,liǎng
89,让,ràng
90,快,kuài
91,问,wèn
92,为,wèi
93,三,sān
94,没,méi
95,住,zhù
96,看见,kànjiàn
97,十,shí
98,听,tīng
99,可以,kěiyǐ
100,玩,wán
101,像,xiàng
102,怎么,zěnme
103,年,nián
104,几,jǐ
105,可是,kěishì
106,见,jiàn
107,花,huā
107,花儿,huā'er
108,知道,zhīdao
109,每,měi
110,它们,tāmen
111,兔,tù
112,跟,gēn
113,带,dài
114,老师,lǎoshī
115,高兴,gāoxìng
116,再,zài
117,山,shān
118,被,bèi
119,高,gāo
120,拿,ná
121,呀,ya
122,孩子,háizi
123,谁,shuí
124,种,zhǒng
125,成,chéng
126,你们,nǐmen
127,因为,yīnwèi
128,笑,xiào
129,猴子,hóuzi
130,爱,ài
131,羊,yáng
132,五,wǔ
133,送,sòng
134,二,èr
135,这样,zhèyàng
136,太阳,tàiyáng
137,掉,diào
138,才,cái
139,画,huà
140,放,fàng
141,当,dāng
142,开,kāi
143,点,diǎn
144,太,tài
145,老,lǎo
146,条,tiáo
147,鸟,niǎo
148,下来,xiàlái
149,人们,rénmen
150,熊,xióng
151,起,qǐ
152,四,sì
153,出来,chūlái
154,可,kì
155,而,ér
156,东西,dōngxi
157,一样,yíyàng
158,地方,dìfɑng
159,觉得,juéde
160,时,shí
161,往,wǎng
162,手,shǒu
163,进,jìn
164,狗,gǒu
165,非常,fēicháng
166,跳,tiào
167,向,xiàng
168,等,děng
169,同学,tóngxué
170,声,shēng
171,学校,xuéxiào
172,马,mǎ
173,坐,zuò
174,红,hóng
175,打,dǎ
176,发现,fāxiàn
177,现在,xiànzài
178,鱼,yú
179,眼睛,yǎnjing
180,穿,chuān
181,请,qǐng
182,却,què
183,次,cì
184,猫,māo
185,哥哥,gēge
186,后,hòu
187,今天,jīntiān
188,河,hé
189,事,shì
190,更,gèng
191,猪,zhū
192,小朋友,xiǎopéngyǒu
193,这里,zhèlǐ
194,过去,guòqù
195,动物,dòngwù
196,这些,zhèxiē
197,话,huà
198,开始,kāishǐ
199,六,liù
200,狐狸,húli
201,妹妹,mèimei
202,这么,zhème
203,别,bié
204,比,bǐ
205,啦,la
206,许多,xǔduō
207,已经,yǐjīng
208,块,kuài
209,于是,yúshì
210,一边（儿）,yìbiān
211,位,wèi
212,有的,yǒude
213,一会儿,yìhuìer
214,一定,yídìng
215,爬,pá
216,站,zhàn
217,白兔,báitù
218,中国,Zhōngguó
219,爷爷,yéye
220,买,mǎi
221,月亮,yuèliang
222,好像,hǎoxiàng
223,过来,guòlái
224,以后,yǐhòu
225,哪里,nǎli
226,回来,huílái
227,一下,yíxià
228,您,nín
229,新,xīn
230,绿,lǜ
231,然后,ránhòu
232,变,biàn
233,七,qī
234,星星,xīngxing
235,越,yuè
236,那么,nàme
237,哪,nǎ
237,哪儿,nǎr
238,原来,yuánlái
239,如果,rúguǒ
240,所以,suǒyǐ
241,完,wán
242,前,qián
243,狼,láng
244,乐,lè
245,将,jiāng
246,书,shū
247,雨,yǔ
248,美丽,měilì
249,变成,biànchéng
250,鸟,niǎo
251,弟弟,dìdi
252,蝴蝶,húdié
253,第,dì
254,月,yuè
255,告诉,gàosu
256,车,chē
257,颗,kē
258,心,xīn
259,但是,dànshì
260,父亲,fùqin
261,门,mén
262,老虎,lǎohǔ
263,怕,pà
264,喝,hē
265,死,sǐ
266,远,yuǎn
267,脸,liǎn
268,蚂蚁,mǎyǐ
269,兔子,tùzi
270,故事,gùshi
271,黑,hēi
272,黄,huáng
273,围裙,wéiqún
274,片,piàn
275,谢谢,xièxie
276,这时,zhèshí
277,上去,shàngqù
278,开心,kāixīn
279,八,bā
280,鸡,jī
281,晚上,wǎnshang
282,春天,chūntiān
283,天空,tiānkōng
284,帮,bāng
285,最后,zuìhòu
286,捉,zhuō
287,声音,shēngyīn
288,办法,bànfǎ
289,座,zuò
290,世界,shìjiè
291,常常,chángcháng
292,突然,tūrán
293,回答,huídá
294,耳朵,ěrduo
295,唱歌,chànggē
296,哭,kū
297,饭,fàn
298,老鼠,lǎoshǔ
299,奶奶,nǎinai
300,一直,yìzhí
301,正,zhèng
302,道,dào
303,写,xiě
304,并,bìng
305,边,biān
306,大象,dàxiàng
307,地球,dìqiú
308,牛,niú
309,嘴巴,zuǐba
310,一些,yìxiē
311,船,chuán
312,停,tíng
313,白,bái
314,慢,màn
315,里面,lǐmiàn
316,奇怪,qíguài
317,全,quán
318,石头,shítou
319,国,guó
320,倒,dǎo
321,忽然,hūrán
322,接,jiē
323,吹,chuī
324,飞机,fēijī
325,特别,tèbié
326,跳舞,tiàowǔ
327,便,biàn
328,书包,shūbāo
329,森林,sēnlín
330,姐姐,jiějie
331,先生,xiānsheng
332,睡,shuì
333,快乐,kuàilè
334,岁,suì
335,风,fēng
336,轻,qīng
337,红色,hóngsè
338,忙,máng
339,时间,shíjiān
340,星期,xīngqī
341,冬天,dōngtiān
342,口,kǒu
343,后来,hòulái
344,外,wài
345,学习,xuéxí
346,正在,zhèngzài
347,张,zhāng
348,只有,zhǐyǒu
349,鼻子,bízi
350,漂亮,piàoliang
351,生活,shēnghuó
352,极,jí
353,终于,zhōngyú
354,那里,nàli
355,出去,chūqù
356,根,gēn
357,衣服,yīfu
358,光,guāng
359,白云,báiyún
360,白色,báisè
361,下雨,xiàyǔ
362,九,jiǔ
363,脚,jiǎo
364,喊,hǎn
365,学,xué
366,公鸡,gōngjī
367,办,bàn
368,伯伯,bóbo
369,明天,míngtiān
370,抱,bào
371,屋,wū
372,百,bǎi
373,房子,fángzi
374,火山,huǒshān
375,连,lián
376,松鼠,sōngshǔ
377,王子,wángzǐ
378,冲,chōng
379,与,yǔ
