characters,pinyin,english
的的你的你的, De de nǐ de nǐ de, Nonsense
谁喝了我的水？,Shéi hēle wǒ de shuǐ?,Who drank my water?
天气冷的时候，我喝茶。,"Tiānqì lěng de shíhòu, wǒ hē chá.","When the weather is cold, I drink tea."
对不起，你想吃东西吗？,"Duìbùqǐ, nǐ xiǎng chī dōngxī ma?","Excuse me, would you like something to eat?; Sorry, do you want to eat?"
明天天气怎么样？会下雨吗？,Míngtiān tiānqì zěnme yàng? Huì xià yǔ ma?,How's the weather tomorrow? Is it going to rain?
那本书有多少字？,Nà běn shū yǒu duōshǎo zì?,How many words are in that book?
不客气。你会吃什么菜呢？,Bù kèqì. Nǐ huì chī shénme cài ne?,You're welcome. What kind of food will you eat?
学校前面的学生太多了。,Xuéxiào qiánmiàn de xuéshēng tài duōle.,There are too many students in front of the school.
我们做了三年的工作。,Wǒmen zuòle sān nián de gōngzuò.,We have been working for three years.
她是一个漂亮的人。,Tā shì yīgè piàoliang de rén.,She is a beautiful person.
我请朋友吃中国菜。,Wǒ qǐng péngyǒu chī zhōngguó cài.,I treat my friends to Chinese food.
我们七岁的女儿吃苹果。,Wǒmen qī suì de nǚ'ér chī píngguǒ.,Our seven-year-old daughter eats apples.
再见，先生，很高兴认识你。,"Zàijiàn, xiānshēng, hěn gāoxìng rènshí nǐ.","Goodbye, sir, It was nice meet you."
我们女儿学习读和写。,Wǒmen nǚ'ér xuéxí dú hé xiě.,Our daughter learns to read and write.
谢谢你的十二块钱。,Xièxiè nǐ de shí'èr kuài qián., Thank you for your twelve yuan.
你的朋友住在哪儿？,Nǐ de péngyǒu zhù zài nǎ'er?,Where does your friend live?
喂，先生，我的名字叫。。。,"Wèi, xiānshēng, wǒ de míngzì jiào...","Hello, sir, my name is. . ."
下月十二号怎么样？,Xià yuè shí'èr hào zěnme yàng?,How about the twelfth of next month?
Smith先生没有打电话。他在做什么？,Smith xiānshēng méiyǒu dǎ diànhuà. Tā zài zuò shénme?,Mr. Smith did not call. What is he doing?
他昨天少吃了一点儿。,Tā zuótiān shǎo chīle yīdiǎn er.,He ate a little less yesterday.
我的女儿想回家睡觉。,Wǒ de nǚ'ér xiǎng huí jiā shuìjiào.,My daughter wants to go home and sleep.
他去了商店买衣服。,Tā qùle shāngdiàn mǎi yīfú.,He went to the store to buy clothes.
你中午吃了多少米饭？,Nǐ zhōngwǔ chīle duōshǎo mǐfàn?,How much rice did you have for lunch(at midday)?
他开了一家大商店。,Tā kāile yījiā dà shāngdiàn.,He opened a big store.
你坐了出租车吗？我们呢？,Nǐ zuòle chūzū chē ma? Wǒmen ne?,Did you take a taxi? What about us?
Smith小姐，我们是怎么认识的？,"Smith xiǎojiě, wǒmen shì zěnme rènshí de?","Miss Smith, how did we meet?"
我的狗很高兴吃东西。,Wǒ de gǒu hěn gāoxìng chī dōngxī.,My dog ​​is very happy to eat.
没关系，我下午四点回去。,"Méiguānxì, wǒ xiàwǔ sì diǎn huíqù.","It's okay, I'll go back at four in the afternoon."
你怎么能读那些字？,Nǐ zěnme néng dú nàxiē zì?,How can you read those words?
妈妈喝杯子里的茶。,Māmā hē bēizi lǐ de chá.,Mother drinks tea from a cup.
你家里有大电视吗？,Nǐ jiā li yǒu dà diànshì ma?,Do you have a big TV at home?
我能看见你后面的电视。,Wǒ néng kànjiàn nǐ hòumiàn de diànshì.,I can see the TV behind you.
我喜欢看电影和吃水果。,Wǒ xǐhuān kàn diànyǐng hé chī shuǐguǒ.,I like watching movies and eating fruits.
儿子爱他的小猫。,Érzi ài tā de xiǎo māo.,Son loves his kitten.
你什么时候来中国的,Nǐ shénme shíhòu lái zhōngguó de?,When did you come to China?
你的电脑在椅子后面。,Nǐ de diànnǎo zài yǐzi hòumiàn.,Your computer is behind the chair.
我一点儿都不喜欢吃苹果。,Wǒ yīdiǎn er dōu bù xǐhuān chī píngguǒ.,I don't like apples at all.
他在哪儿开了饭店？,Tā zài nǎ'er kāile fàndiàn?,Where did he open the restaurant?
我听说明天会下雨。,Wǒ tīng shuōmíng tiān huì xià yǔ.,I heard that it will rain tomorrow.
那是谁？她很漂亮。,Nà shì shéi? Tā hěn piàoliang.,Who is that? She is very pretty.
她写了哪本书？,Tā xiěle nǎ běn shū?,Which book did she write?
我们中午去了中国饭店。,Wǒmen zhōngwǔ qùle zhōngguó fàndiàn.,We went to the Chinese restaurant at noon.
这是谁的小狗？,Zhè shì shéi de xiǎo gǒu?,Whose puppy is this?
现在北京的天气有点冷。,Xiànzài běijīng de tiānqì yǒudiǎn lěng.,The weather in Beijing is a bit cold now.
我们少了六块钱。,Wǒmen shǎole liù kuài qián.,We're six dollars short.
今天上午下雨了二十分钟。,Jīntiān shàngwǔ xià yǔle èrshí fēnzhōng.,It rained for twenty minutes this morning.
她的医生在北京医院工作。,Tā de yīshēng zài běijīng yīyuàn gōngzuò.,Her doctor works in Beijing Hospital.
你读了哪本书？,Which book did you read?,Nǐ dúle nǎ běn shū?
他的猫很小，一岁。,"Tā de māo hěn xiǎo, yī suì.","His cat is very small, one year old."
对不起，医院里有点冷。,"Duìbùqǐ, yīyuàn li yǒudiǎn lěng.","Sorry, it's a bit cold in the hospital."
你明天几点回来？,Nǐ míngtiān jǐ diǎn huílái?,What time will you be back tomorrow?
小的时候，我想做医生。,"Xiǎo de shíhòu, wǒ xiǎng zuò yīshēng.","When I was young, I wanted to be a doctor."
不客气，你想喝一点儿茶吗？,"Bù kèqì, nǐ xiǎng hè yīdiǎn er chá ma?","You're welcome, would you like a little tea?"
听说中国人喜欢喝茶。,Tīng shuō zhōngguó rén xǐhuān hē chá.,I heard that Chinese people like to drink tea.
爸爸买了八个苹果。,Bàba mǎile bā gè píngguǒ.,Dad bought eight apples.
她学习了几年汉语。,Tā xuéxíle jǐ nián hànyǔ.,She has studied Chinese for several years.
我的朋友坐在电视前面。,Wǒ de péngyǒu zuò zài diànshì qiánmiàn.,My friend is sitting in front of the TV.
她一个人住在北京。,Tā yīgè rén zhù zài běijīng.,She lives in Beijing alone.
七号的天气很热！,Qī hào de tiānqì hěn rè!,The weather on the 7th is very hot!
我们在飞机上看电影。,Wǒmen zài fēijī shàng kàn diànyǐng.,We watch a movie on the plane.
你学习汉语多少年了？,Nǐ xuéxí hànyǔ duō shào niánle?,How many years have you studied Chinese?
我们都有漂亮的衣服。,Wǒmen dōu yǒu piàoliang de yīfú.,We all have beautiful clothes.
桌子上的杯子里没有水。,Zhuōzi shàng de bēizi lǐ méiyǒu shuǐ.,There is no water in the cup on the table.
看，那些是什么东西？,"Kàn, nàxiē shì shénme dōngxī?","Look, what are those things?"
喂，我是你的同学。,"Wèi, wǒ shì nǐ de tóngxué.","Hello, I'm your classmate."
他上午坐了出租车八分钟。,Tā shàngwǔ zuòle chūzū chē bā fēnzhōng.,He took a taxi for eight minutes in the morning.
儿子坐在椅子上看电影。,Érzi zuò zài yǐzi shàng kàn diànyǐng.,The son sits in a chair and watches a movie.
不客气，先生。请现在上飞机。,"Bù kèqì, xiānshēng. Qǐng xiànzài shàng fēijī.","You are welcome, sir. Please board the plane now."
女儿的名字有八个字。,Nǚ'ér de míngzì yǒu bā gè zì.,Daughter's name has eight characters.
我的同学都在学习汉语。,Wǒ de tóngxué dōu zài xuéxí hànyǔ.,My classmates are all learning Chinese.
我们的老师会说汉语。,Wǒmen de lǎoshī huì shuō hànyǔ.,Our teacher can speak Chinese.
我们在学校看见了老师。,Wǒmen zài xuéxiào kànjiànle lǎoshī.,We saw the teacher at school.
儿子认识了四个同学。,Ér zǐ rènshíle sì gè tóngxué.,Son met four classmates.
我很喜欢苹果。你呢？,Wǒ hěn xǐhuān píngguǒ. Nǐ ne?,I like apples very much. What about you?
我爸爸叫我回家。再见！,Wǒ bàba jiào wǒ huí jiā. Zàijiàn!,My father told me to go home. Goodbye!
桌子上有三个水果。,Zhuōzi shàng yǒusān gè shuǐguǒ.,There are three fruits on the table.
再见！我三点回来。,Zàijiàn! Wǒ sān diǎn huílái.,Goodbye! I'll be back at three o'clock.
我们学校有十四个老师。,Wǒmen xuéxiào yǒu shísì gè lǎoshī.,There are fourteen teachers in our school.
今天下午五点下雨了。,Jīntiān xiàwǔ wǔ diǎn xià yǔle.,It rained at five this afternoon.
我们的猫喜欢喝冷水。,Wǒmen de māo xǐhuān hē lěngshuǐ.,Our cat likes to drink cold water.
这些菜有多少米饭？,Zhèxiē cài yǒu duōshǎo mǐfàn?,How much rice do these dishes have?
