您正在收听的是：自然而然说中文，第一期：你好，很高兴认识你！	nínzhèngzàishōutīngdeshì：zìránérránshuōzhōngwén，dìyīqī：nǐhǎo，hěngāoxīngrènshìnǐ！	You're listening to: naturally speak Chinese, the first phase: Hello, nice to meet you!
我是佳佳，正如今天的主题，首先我来做一下自我介绍。	wǒshìjiājiā，zhèngrújīntiāndezhǔtí，shǒuxiānwǒláizuòyīxiàzìwǒjièshào。	I'm Allison, just as today's topic, let me introduce myself to do.
我既是一个语言的从教者，也是一个语言学习的爱好者。	wǒjìshìyīgèyǔyándecóngjiàozhě，yěshìyīgèyǔyánxuéxídeàihǎozhě。	I am both a language from teaching, is also a language learning enthusiasts.
大学毕业于一所师范学校，顺利取得了语文和英语教师的从业资格后在一所小学从事了语言教学将近 5 年的时间。	dàxuébìyèyúyīsuǒshīfànxuéxiào，shùnlìqǔdéleyǔwénhéyīngyǔjiàoshīdecóngyèzīgéhòuzàiyīsuǒxiǎoxuécóngshìleyǔyánjiàoxuéjiāngjìn 5 niándeshíjiān。	He graduated from a normal school after college, made a smooth qualification and English language teachers at a primary school in nearly five years of language teaching.
除了母语是中文，一外是英语，二外是在大学里学的日语，近两年正在学习西班牙语。	chúlemǔyǔshìzhōngwén，yīwàishìyīngyǔ，èrwàishìzàidàxuélǐxuéderìyǔ，jìnliǎngniánzhèngzàixuéxíxībānyáyǔ。	In addition to mother tongue is Chinese, English is a foreign, second foreign learn Japanese in college, the last two years are learning Spanish.
以后有机会，我再给大家详细说说我的这些语言教学和学习的经历吧！	yǐhòuyǒujīhùi，wǒzàigěidàjiāxiángxìshuōshuōwǒdezhèxiēyǔyánjiàoxuéhéxuéxídejīnglìba！	Have the opportunity, I'll give you a detailed talk about my experiences in these languages ​​teaching and learning of it!
正因为自己在语言领域的双重身份，让我想到开这个播客，借此平台用最实际，最有效，最自然的方法帮助那些想要流利说中文的外国朋友们，最终达到接近中文母语水平的听、说程度。	zhèngyīnwèizìjǐzàiyǔyánlǐngyùdeshuāngzhòngshēnfèn，ràngwǒxiǎngdàokāizhègèbōkè，jiècǐpíngtáiyòngzùishíjì，zùiyǒuxiào，zùizìrándefāngfǎbāngzhùnàxiēxiǎngyàolíulìshuōzhōngwéndewàiguópéngyǒumen，zùizhōngdádàojiējìnzhōngwénmǔyǔshǔipíngdetīng、shuōchéngdù。	Because of his own double identity in the field of language, reminds me open this podcast, take this platform with the most practical, most effective, most natural way to help those foreign friends who want to speak Chinese fluently, and ultimately achieve close to Chinese native level of listening, speaking extent.
我知道想要达到这个目标不容易，但并不是不可能，关键是要用对方法并持之以恒。	wǒzhīdàoxiǎngyàodádàozhègèmùbiāobùróngyì，dànbìngbùshìbùkěnéng，guānjiànshìyàoyòngdùifāngfǎbìngchízhīyǐhéng3。	I know you want to achieve this goal is not easy, but not impossible, the key is to use the method and perseverance 3.
我认为现在大多数国家学校里的语言教学方法都存在很大的问题。	wǒrènwèixiànzàidàduōshùguójiāxuéxiàolǐdeyǔyánjiàoxuéfāngfǎdūcúnzàihěndàdewèntí。	I think most countries now the school's language teaching methods have a big problem.
他们大多把语言教学的重点放在了词汇的记忆和语法的完善上，而学生们却很少有听、说的机会。	tāmendàduōbǎyǔyánjiàoxuédezhòngdiǎnfàngzàilecíhùidejìyìhéyǔfǎdewánshànshàng，érxuéshēngmenquèhěnshǎoyǒutīng、shuōdejīhùi。	Most of them focus on language teaching in the memory and improve the vocabulary of grammar, but very few students listening and speaking opportunities.
这就违背了语言学习的初忠：交流；也违背了人类语言发展的自然顺序——从口耳相传再到书写。	zhèjìuwéibèileyǔyánxuéxídechūzhōng：jiāolíu；yěwéibèilerénlèiyǔyánfāzhǎndezìránshùnxù——cóngkǒuěrxiāngchuánzàidàoshūxiě。	This is contrary to language learning in the early Zhong: AC; also contrary to the natural order of development of human language - from word of mouth and then to write.
下面这个观点，你同意吗？	xiàmiànzhègèguāndiǎn，nǐtóngyìma？	Below this point, do you agree?
婴幼儿学习语言的能力大大强于成年人，所以成年人很难掌握一门新的语言。	yīngyòuérxuéxíyǔyándenénglìdàdàqiángyúchéngniánrén，suǒyǐchéngniánrénhěnnánzhǎngwòyīménxīndeyǔyán。	Infants and young children the ability to learn language is much stronger than adults, so adults is difficult to grasp a new language. 
不知道你怎么想，我的答案是否定的。	bùzhīdàonǐzěnyāoxiǎng，wǒdedáànshìfǒudìngde。	I do not know how you think, my answer is no.
我认为大家之所以普遍相信这个说法是在给自己学不好语言找个看似无法反驳的借口。	wǒrènwèidàjiāzhīsuǒyǐpǔbiànxiāngxìnzhègèshuōfǎshìzàigěizìjǐxuébùhǎoyǔyánzhǎogèkànsìwúfǎfǎnbódejièkǒu。	I think the reason why we believe that this statement is generally in bad science to their own language to find a seemingly unanswerable excuse.
